rank,player,team,position,pos_rank,tier,bye,ecr_vs_adp
281,Malik Davis,DAL,RB,82,12,14.0,14.0
282,Tyquan Thornton,KC,WR,103,12,5.0,-35.0
283,LeQuint Allen Jr.,JAC,RB,83,12,7.0,-19.0
284,Atlanta Falcons,ATL,DST,17,12,11.0,-36.0
285,Kyle Williams,NE,WR,104,12,11.0,122.0
286,Keenan Allen,LAC,WR,105,12,7.0,-12.0
287,Devaughn Vele,NO,WR,106,12,8.0,-6.0
288,Wil Lutz,DEN,K,16,12,10.0,
289,Will Reichard,MIN,K,17,12,6.0,
290,Kendre Miller,NO,RB,84,12,8.0,68.0
291,Brashard Smith,KC,RB,85,12,5.0,115.0
